id,time,FFFS,BIS,BAS,GDP,I,RI,RR
271,4,25,43,83,26,21,13,23
272,1,15,36,80,22,20,14,24
272,2,12,35,77,23,12,16,26
273,1,12,38,68,22,17,10,19
273,2,17,43,69,21,16,11,21
274,1,12,44,49,15,13,6,15
275,1,11,38,55,17,14,8,16
275,2,11,40,60,20,17,8,15
275,3,14,34,67,21,17,9,20
275,4,13,39,57,18,14,8,17
276,1,9,25,69,25,15,11,18
276,4,9,30,73,25,17,12,19
277,1,10,21,47,15,16,5,11
277,2,13,23,45,15,14,6,10
277,3,12,26,46,17,14,5,10
277,4,11,20,47,17,16,5,9
278,1,15,62,70,17,22,10,21
278,2,14,59,57,14,16,9,18
278,4,13,55,66,19,17,11,19
279,1,16,29,64,20,17,7,20
280,1,28,50,70,21,16,10,23
